Gender,Location,Value
GIRLS,Austria,27.8
BOYS,Austria,24
GIRLS,Belgium,24.8
BOYS,Belgium,17.4
GIRLS,Bulgaria,47.7
BOYS,Bulgaria,35.7
GIRLS,Croatia,35.6
BOYS,Croatia,25.3
GIRLS,Czech Republic,18.9
BOYS,Czech Republic,14.4
GIRLS,Estonia,35.5
BOYS,Estonia,25.7
GIRLS,Finland,17.3
BOYS,Finland,8.6
GIRLS,France,35
BOYS,France,19.5
GIRLS,Germany,41.7
BOYS,Germany,33
GIRLS,Greece,47.2
BOYS,Greece,32.5
GIRLS,Hungary,43.9
BOYS,Hungary,29.4
GIRLS,Ireland,36.8
BOYS,Ireland,28.8
GIRLS,Italy,72.8
BOYS,Italy,54.3
GIRLS,Latvia,46.2
BOYS,Latvia,36.6
GIRLS,Lithuania,43.6
BOYS,Lithuania,28.3
GIRLS,Luxembourg,24
BOYS,Luxembourg,19.2
GIRLS,Netherlands,21.2
BOYS,Netherlands,17.7
GIRLS,Portugal,39.9
BOYS,Portugal,26.1
GIRLS,Poland,57.3
BOYS,Poland,35.6
GIRLS,Romania,51.9
BOYS,Romania,36
GIRLS,Slovakia,43.6
BOYS,Slovakia,27.5
GIRLS,Slovenia,27.8
BOYS,Slovenia,22.6
GIRLS,Spain,45.4
BOYS,Spain,30.7
GIRLS,United Kingdom,32.2
BOYS,United Kingdom,25.1
