Gender,Location,Value
GIRLS,Austria,20.6
BOYS,Austria,22.1
GIRLS,Belgium,23.8
BOYS,Belgium,18.1
GIRLS,Bulgaria,46
BOYS,Bulgaria,35.5
GIRLS,Croatia,35.9
BOYS,Croatia,25.3
GIRLS,Czech Republic,18.8
BOYS,Czech Republic,13.4
GIRLS,Estonia,34.4
BOYS,Estonia,24.1
GIRLS,Finland,14.1
BOYS,Finland,10.7
GIRLS,France,23.8
BOYS,France,19.4
GIRLS,Germany,33.8
BOYS,Germany,29.3
GIRLS,Greece,38.1
BOYS,Greece,38.1
GIRLS,Hungary,33.8
BOYS,Hungary,27
GIRLS,Ireland,20
BOYS,Ireland,19.5
GIRLS,Italy,46.5
BOYS,Italy,41.5
GIRLS,Latvia,41.7
BOYS,Latvia,29.1
GIRLS,Lithuania,38.3
BOYS,Lithuania,26
GIRLS,Luxembourg,21.1
BOYS,Luxembourg,17.6
GIRLS,Netherlands,22.5
BOYS,Netherlands,18.9
GIRLS,Portugal,49.2
BOYS,Portugal,36.5
GIRLS,Poland,51.5
BOYS,Poland,30.5
GIRLS,Romania,31.7
BOYS,Romania,28
GIRLS,Slovakia,30.9
BOYS,Slovakia,22.4
GIRLS,Slovenia,33
BOYS,Slovenia,23
GIRLS,Spain,40.8
BOYS,Spain,29
GIRLS,United Kingdom,26.4
BOYS,United Kingdom,23.5
